id;age;gender;bfi_extra_1_r;bfi_extra_2;bfi_agree_1;bfi_agree_2_r;bfi_consc_1;bfi_consc_2_r;bfi_neuro_1;bfi_neuro_2_r;bfi_open_1;bfi_open_2_r
1;25;female;3;4;2;1;2;2;2;1;2;1
2;21;male;4;3;1;3;4;5;3;5;3;4
3;23;female;3;3;3;3;4;3;3;2;1;
4;27;female;4;4;2;2;1;2;4;3;1;2
5;45;male;2;2;2;2;4;3;2;3;4;2
6;44;male;3;2;;3;1;3;4;5;2;4
7;37;female;2;1;1;1;2;;3;2;2;3
8;41;female;3;3;1;3;3;3;4;5;3;3
9;42;female;;2;1;1;1;1;3;3;1;2
10;41;male;3;4;5;2;3;3;3;3;2;
11;33;female;3;2;3;2;2;2;1;1;3;2
12;29;male;2;3;1;2;1;1;1;1;2;1
13;33;female;3;4;4;4;5;5;;;;
14;36;female;4;;5;4;1;3;2;2;4;4
15;20;male;2;2;4;4;2;2;3;3;3;5
16;41;male;3;3;2;1;4;2;;2;2;2
17;38;female;4;2;4;2;2;3;4;4;3;3
18;24;male;4;5;5;5;5;5;5;4;4;4
19;20;male;5;5;4;5;5;4;5;4;5;4
20;27;male;2;2;2;2;3;2;1;2;2;3
21;38;female;2;4;3;;3;4;3;5;2;3
22;27;female;5;4;4;4;4;3;5;5;4;5
23;24;female;3;3;2;4;4;5;4;2;3;2
24;36;female;3;1;3;1;4;2;3;1;3;2
25;30;female;1;1;1;1;2;2;1;;2;3
26;27;female;2;3;4;4;3;4;3;4;2;3
27;40;male;3;3;2;4;3;4;2;4;3;4
28;31;male;5;5;5;4;4;4;3;4;3;4
29;41;female;1;2;4;2;2;1;4;5;4;2
30;41;male;3;5;2;3;4;4;4;4;3;2
